754,2069722,2,0,-1,-1,1,-1,-1,1,0,lec kvarh 1,-1,2015-11-03 13:58:55,0.0,0.0,2019
755,2069722,2,0,-1,-1,1,-1,-1,1,0,lec kvarh 1 gavinete,-1,2015-11-03 13:59:10,0.0,0.0,2019
756,2069723,11202,0.713145,-1,-1,1,-1,-1,1,0,lec kvarh 4508,-1,2015-11-03 13:59:34,0.0,0.0,2019
757,2069724,4778,1.03158,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:00:25,0.0,0.0,2019
758,2069725,5336,1.09259,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:00:28,0.0,0.0,2019
759,2069726,5686,1.09677,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:01:23,0.0,0.0,2019
760,2069727,10904,0.760736,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:01:27,0.0,0.0,2019
762,2069728,3016,1.34545,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:02:19,0.0,0.0,2019
763,2069728,3016,1.34545,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:02:29,0.0,0.0,2019
764,2069729,1666,1.09639,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:02:51,0.0,0.0,2019
766,2069730,3128,0.73029,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:03:15,0.0,0.0,2019
765,2069731,377,0.909091,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:03:08,0.0,0.0,2019
761,2069732,4426,0.969697,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:01:46,0.0,0.0,2019
767,2069733,19408,0.92607,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:03:58,0.0,0.0,2019
768,2069734,10670,1.06383,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:04:02,0.0,0.0,2019
769,2069735,3236,1.03731,-1,-1,1,-1,-1,1,0,m51 m52,-1,2015-11-03 14:05:21,0.0,0.0,2019
770,2069736,1755,1.07143,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:05:43,0.0,0.0,2019
771,2069737,12880,0.959799,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:05:48,0.0,0.0,2019
772,2069738,49931,0.84375,-1,-1,1,-1,-1,1,0,m51,-1,2015-11-03 14:06:54,0.0,0.0,2019
773,2069739,5451,1.17874,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:07:18,0.0,0.0,2019
774,2069740,16936,1.43939,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:07:38,0.0,0.0,2019
775,2069740,16936,1.43939,-1,-1,1,-1,-1,1,0,tapa opaka,-1,2015-11-03 14:08:08,0.0,0.0,2019
776,2069741,3593,1.40678,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:08:29,0.0,0.0,2019
777,2069741,3593,1.40678,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:08:46,0.0,0.0,2019
778,2069742,27295,1.13566,-1,-1,1,-1,-1,1,0,,-1,2015-11-03 14:09:06,0.0,0.0,2019
